party,work_for
Vihreä liitto,"Haluan ja lupaan edistää ennen kaikkea seuraavia asioita:    1. Vastuullinen politiikka: Pitkän aikavälin taloudellinen hyvinvointi syntyy ihmisten, eläinten ja ympäristön hyvinvoinnista. Haluan varmistaa, että Suomi tekee päätöksiä katsoen kauas tulevaisuuteen, huomioiden tulevat sukupolvet. Edistän ilmastotavoitteisiin sitoutumista Suomessa ja maailmalla.    2. Energiaremontti: Haluan edistää puhtaan ja uusiutuvan energian käyttöönottoa ja hajautettua energiantuotantoa, joka toisi työtä ympäri Suomea ja elinvoimaa maaseudulle.    3. Tasa-arvoisempi yhteiskunta: Työelämän ja vanhemmuuden tasa-arvo: Jaamme vanhemmuuden kustannuksia tasaisemmin. Otamme käyttöön 6+6+6 -vanhempainvapaamallin.    4. Perustulo. Nykyistä sosiaaliturvajärjestelmää on yksinkertaistettava ja kannustavuutta lisättävä. Haluan toteuttaa perustulokokeilun ja uudistaa sosiaaliturvajärjestelmää kohti perustulomallia."
Suomen Sosialidemokraattinen Puolue,"Suomessa on pidettävä kiinni ja kehitettävä hyvinvointiyhteiskunnan peruskiviä â€“ tasa-arvoista mahdollisuutta koulutukseen, reilumpaa ja oikeudenmukaisempaa työelämää ja mahdollisuutta yrittämiseen."
Vasemmistoliitto,"Turvan suojaaminen, maahanmuuttajat ovat  aktiivisia, mutta sen vuoksi ettei suurella osalla ole todistusta vaikka on kokemusta, työpaikkojen saanti on vaikeaa. Heistä tehdään passiivisia."
Vasemmistoliitto,"Leikkausten korvaaminen elvyttävällä talouspolitiikalla ja sitä kautta työllisyyden sekä taloustilanteen kohentaminen. Perusturvan tason nostaminen ja kehittäminen kohti perustuloa, julkisten hyvinvointipalveluiden vahvistaminen, maksuttoman koulutuksen säilyttäminen ja ilmastopäästöjen vähentäminen uusiutuvien energiamuotojen lisäämisellä energiatuonnossa."
Kansallinen Kokoomus,Nuorten syrjäytyneisyyden ehkäisy. Oppisopimuskoulutus. Yrittäjyyden edistäminen. Kestävä kehitys. Työelämän ja perheen yhdistäminen. Joustavat varhaiskasvatuspalvelut. Vanhempien valinnanvapaus.
Vihreä liitto,Koulutuksen säilyttämistä kaikkien lasten ja nuorten saatavilla. Yrittäjyyden ja toisten työllistämisen helpottamista. Sisäilmaongelmakaaoksen pysäyttämistä.
Suomen Kristillisdemokraatit (KD),"Eriarvoisuutta tulee vähentää. Nuorisotyöttömyydelle ja nuorten passivoitumiselle on löydettävä toimivat mallit. Talous on saatava kuntoon ja luotava perusta pienyrityksille toimia. Perhepolitiikka on saatettava sellaiseksi, että vanhemmat kykenevät ottamaan vastuuta kasvatuksesta. Julkishallinto on rakennettava uusiksi. Turvallisuus kansalaisille taattava. Heikoimmassa asemassa olevia autettava aktivoitumaan vastuullisiksi kansalaisiksi. Työnteon oltava kannattavaa."
Suomen Keskusta,"Uskon, että ihminen on tarkoitettu tekemään työtä, oli se sitten palkka- tai vapaaehtoistyötä. Haluan olla taistelemassa ihmisten oikeudesta työhön. Koulutus on koko Suomen osaamisen kivijalka. Lapissakin on oltava mahdollisuus opiskella ja kouluttautua. Aina kun puhutaan Suomesta, tulee puhua myös Lapista. Lappi voi toimia koko Suomen kasvun veturina!"
Perussuomalaiset,"Sanavapautta, lasten- ja nuorten asioita, ns. ""pakkoruotsin"" poistoa, vanhusten palveluita ja lastensuojelun ongelmien korjaamista."
Suomen Kristillisdemokraatit (KD),"Haluan parempaa perhepolitikkaa, lisää inhimillisyyttä vanhuuteen ja kristilliset arvot pidettävä yhteiskunnan perustana. Tarvitsemme välittämistä ja vastuun kantamista lähimmäisestä."
Perussuomalaiset,"Yrittäjyydestä helpompaa, kotimainen ruoka, lapsien tulevaisuuden tukeminen, vanhusten eläkepäivien turvaaminen sekä kotimaa ovat tärkeitä asioita minulle."
Suomen Keskusta,"Suomi on nostettava tästä velkaantumisen ja suurtyöttömyyden suosta tekemällä tarvittavia uudistuksia yrittämisen edellytyksiin, byrokratiaa ja turhia säädöksiä purkamalla, kilpailukykymme korjaamisella, biotaloudella koko Suomi nousuun. Velkaantuminen on saatava kuriin, heikommista ( mukaanlukien vanhukset ja lapset)  on pidettävä parempaa huolta ja kaikkien päätösten on oltava ehdottoman oikeudenmukaisia.Hyvintointimme lähteet ovat työssä, ahkeruudessa ja yrittäjyydessä. Tehdään yhdessä Suomesta mahdollisuuksien maa!"
Vasemmistoliitto,"Haluan parantaa eläkeläisten ja vanhusväestön olosuhteita ja vaikutusmahdollisuuksia.   Haluan parempaa maailmaa, jossa vallitsee rauha ja tasa-arvo ja jossa kunnioitetaan luonnon asettamia reunaehtoja."
Suomen Sosialidemokraattinen Puolue,"Kaikkea toimintaani ohjaavat yhdenvertaisuus, solidaarisuus ja ihmisten oikeus päättää elämästään. Eriarvoisuuden kasvu on pysäytettävä."
Vasemmistoliitto,"Suomen talouspolitiikan suuntaa pitää muuttaa. Nyt tarvitaan elvytystä leikkausten sijaan. Meidän isoin ongelmamme on massatyöttömyys. Suomi tarvitsee kestävää talouskasvua, joka huomioi ekologisuuden. Tuloeroja pitää kaventaa ja verovuoto veroparatiiseihin pitää tukkia. Meidän pitää toimia avoimemman ja vapaamman Suomen puolesta."
Vasemmistoliitto,"Perustuloon siirtyminen, kaksiportaisen hallintomallin kehittäminen, translain uudistus, ratahankkeet jne."
Vasemmistoliitto,Ympäristön hyvinvointia. Parantaa lapsiperheiden asemaa sekä nuorten hyvinvointia.
Kansallinen Kokoomus,Minulle tärkeintä on saada Suomi liikkeelle ja Suomeen lisää töitä
Suomen Kristillisdemokraatit (KD),"Haluan puolustaa koulutuksen laatua, edistää parempaa työn ja perheen yhteensovittamista, parantaa pienyrittäjien asemaa, kannustaa työn tekemiseen uudistamalla kankeaa sosiaalitukijärjestelmää, selkeyttää vanhusten palveluasumisen maksupolitiikkaa, saada nuorisotakuun toimimaan ja ennen kaikkia Suomen talouden kuntoon."
Suomen Sosialidemokraattinen Puolue,Valtiontalous tasapainoon. Reilua työelämää ja oikeudenmukaista veropolitiikkaa. Työllistämisen edellytyksien parantamista pk-yrityksille. Ostovoimaa eläkeläisille ja pieni- ja keskituloisille. Lasten ja nuorten hyvän tulevaisuuden turvaamista.
Suomen Kristillisdemokraatit (KD),"Lasten, nuorten ja perheiden hyvinvointiin panostamalla luodaan tulevaisuutta.  Pohjoisessa Suomessa on oltava hyvät mahdollisuudet kouluttautua ja tehdä työtä. Maapallo pitää säilyttää elinkelpoisena."
Perussuomalaiset,Haluan toimia ihmisten puolella. Perheet tarvitsevat jatkossakin valinnan vapauden lasten hoidossa ja vanhustenhoidon resurssit on turvattava. Kalliit sairaalat ja terveyskeskukset on saatava tehokkaaseen käyttööön. Suomi tarvitsee ulkopolitiikassa tervettä kansallista itsekkyyttä. Toimia itsenäiden puolustuksen edellytysten turvaamiseksi. Edistää kotimaisen energian tuotannon edellytysten parantamista ja saada vallitseva näpertely politiikka kuriin. Kotouttamispolitiikan selkeyttäminen - samat säännöt ja oikeudet Suomessa eli maassa maan tavalla.
Perussuomalaiset,Haluan parantaa vanhusten hoitoa ja toimeentuloa.   Haluan parantaa työssäjaksamista ja tasa-arvoista kohtelua työpaikoilla.  Haluan vähentää nuorisotyöttömyyttä.
Kansallinen Kokoomus,"Haluan, että Suomi on turvallinen maa. Haluan myös, että Suomi on jatkossakin maa, jossa kaveria ei jätetä. Jotta hyvinvointia riittää kaikille, on työnteko ja yrittäjyys asetettava etusijalle.    Haluan, että perheillä on hyvä olla. Siksi on tärkeää, että myös suomalainen työelämä kehittyy maailman parhaaksi.    Koko maan aktiivinen kehittäminen tarjoaa Suomelle parhaat edellytykset menestyä myös tulevaisuudessa. Lapin elinkeinoilla on mahdollisuus tarjota merkittäviä kasvumahdollisuuksia koko kansantaloudelle.    Jotta näitä mahdollisuuksia voidaan kestävällä tavalla hyödyntää, tarvitaan toimivat liikenne- ja tietoliikenneyhteydet sekä hyvät peruspalvelut joka puolella Lappia.    Koulutus on Suomen perinteinen vahvuus, jonka korkeasta tasosta meidän tulee huolehtia jatkossakin. Miltään koulutusalalta ei kuitenkaan saa kouluttaa nuoria kortistoon, vaan koulutuksen on paremmin vastattava työelämän tarpeita. Nuorten valmiuksia työelämään tulee aktiivisesti kehittää löytämällä uudenlaisia oppimisen tapoja esimerkiksi koulutussopimuksen kautta, jolla parannettaisiin mahdollisuuksia todelliseen työssä oppimiseen.    Suomalaisen teollisuuden kilpailukyvystä huolehtiminen on välttämätöntä paitsi työpaikkojen ja hyvinvointimme kannalta, on se myös globaalia vastuunkantoa parhaimmillaan. Suomalaisen työ on aina globaalisti tarkasteltuna ekoteko, koska meillä energia osataan tuottaa päästöttömästi ja tuotantoprosessit ovat maailman resurssitehokkaimpia.    Turhaa sääntelyä ja liiallista byrokratiaa voidaan purkaa ja hallintoa järkeistää. Kun asiat tehdään oikein, meillä on varaa hyviin palveluihin myös ilman veronkorotuksia."
Vihreä liitto,"Tavoitteenani on vahvistaa Suomen energiapolitiikkaa sekä edistää bioenergian, kuten puuhakkeen käyttöä. Samalla luomme paikallisia työpaikkoja ja vähennämme ilmastolle haitallisen kivihiilen käyttöosuutta.    Nuorten koulutukseen tulee panostaa nykyistä enemmän, jotta takaamme maamme tulevaisuuden kilpailukyvyn. Puolustan lukukausimaksutonta opetusta. Kouluttautumismahdollisuudet tulee ratkaista yksilötasolla oman tahdon ja kykyjen, eikä vanhempien lompakon paksuuden perusteella.    Haluan edistää tasa-arvon toteutumista ja taistelen oikeudenmukaisuuden puolesta."
Suomen Kristillisdemokraatit (KD),"Tahdon edistää työtä, terveyttä ja turvallisuutta Suomessa. Suomi saadaan uuteen nousuun poistamalla kannustinloukkuja, pitämällä huoli siitä, että kansa kaikkialla on tervettä, sekä turvaamalla isänmaa sisäisiltä ja ulkoisilta uhilta."
Suomen Kristillisdemokraatit (KD),"Työttömyyden väheneminen, vanhusten hoidon tilanteen parantaminen, koulutuksen tason säilyttäminen, mielelllään parantaminen. Oikeudenmukainen Suomi."
Suomen Kristillisdemokraatit (KD),"Jag vill se landet blomstra: skuldbördan fÃ¥r inte stiga. Ungdomar ska mÃ¥ väl, ha en framtidstro, vÃ¥ga utveckla sina gÃ¥vor.AlltsÃ¥ behöver barnfamiljer allt stöd. Männsikan bör ses, tas om hand även pÃ¥ Ã¥lderns höst."
Vasemmistoliitto,työllisyys politiikka kaiken kaikkiaan - olisi työn alla...
Suomen Sosialidemokraattinen Puolue,"Tasa-arvoisia mahdollisuuksia kaikille. Pelkät oikeudet eivät riitä, vaan oltava aito mahdollisuus kouluttautua, tehdä työtä, viettää turvallisia eläkepäiviä, toteuttaa itseään ja olla oma itsensä. Ensisijaista turvaa luovat laadukkaat julkiset palvelut, joita tulonsiirrot täydentävät. Tärkein asia on turvata kaikille työ, josta saa riittävän toimeentulon ja jonka työehdot ovat kunnossa."
Suomen Sosialidemokraattinen Puolue,"Meillä keskustellaan sairauksista, muttei niiden syistä. Suomesta ei lopu leipä. Sen sijaan arvot, kuten ymmärrys ihmisestä, ovat kuihtuvia luonnonvaroja. Minulla on unelma, että järjestelmä ei loukkaa, eikä syrji ihmistä. Jotta Suomi voisi uudistua, ihmisen on uudesti-synnyttävä.     Tarvitsemme rakenneuudistuksen, joka lähtee ihmisestä - asenteista. Rahat pois kosmeettisesta toiminnasta! Tunneäly ja luovuus päätöksenteon keskiöön - valtakulttuurin ohentuminen on pysäytettävä!     Työtä kaikille! PK-yritykset ovat Suomen selkäranka - yhteiskunnan on jaettava vastuu työntekijöistä!"
Suomen Sosialidemokraattinen Puolue,"Minulle tärkeitä asioita ovat tasa-arvokysymykset, työelämän hyvinvointi ja kestävän kehityksen edistäminen poliittisin päätöksin."
Suomen Kristillisdemokraatit (KD),"Byrokratiaa on vähennettävä päätöksenteossa. Kuntarakenteita kevennettävä, yhdistymisiä joudutaan tekemään, elinvoimaisuus ja mahdollisuudet elämiseen myös maaseudulla säilytettävä."
Suomen Sosialidemokraattinen Puolue,"Jokaisella kansalaisella tulee olla yhdenvertaiset oikeudet laadukkaisiin sosiaali- ja terveyspalveluihin.    Liikunnan positiivinen merkitys ihmisten terveyteen on ymmärrettävä ja ihmisten liikkumista tulee tukea entistä voimakkaammin valtion taholta.    Lapsiperheitä tulee tukea heidän arjessaan kaikin keinoin, sillä he ovat yhteiskuntamme tulevaisuus.    Jokaiselle työntekijälle tulee maksaa sellaista palkkaa mikä riittää elämisen kustantamiseen ja samanarvoisesta työstä kuuluu maksaa sama palkka."
Kansallinen Kokoomus,"Suurin teemani on työ. Haluan olla mukana tekemässä suomalaisesta työstä kannattavampaa. Yrittämisestä tulee tehdä houkuttelevampaa ja työvoiman palkkaamisesta helpompaa.  Sosiaali- ja terveysalalla tulee poistaa päällekäisyyksiä ja panostaa laadukkaaseen perushoitoon.   Ennaltaehkäisyn roolia on korostettava.  Lapsiperheiden hyvinvointia on lisättävä, varhaista tukea ja sen tarpeen tunnistamista on edistettävä ja vanhemmuudesta työnantajalle koituvia kustannuksia on tasoitettava. Perheiden hyvinvointiin liittyy kiinteästi myös työ: työelämän joustavuus luo perheille mahdollisuuden parempaan arkeen ja lapsille antoisamman lapsuuden.  Turhaa byrokratiaa tulee karsia, meillä ei ole varaa huonoon kommunikaatioon tai prosesseihin, jotka ovat tehottomia."
Suomen Keskusta,"1. Yrittäjyys ja omistajuus. Yrittäjyyttä tulee kannustaa verotuksen avulla, kotimaista omistajuutta on tuettava ja pääomat on saatava työllistämään. Lisäksi työn joustavuutta tulee lisätä ja työn tekeminen ja teettäminen on tehtävä kannustavammaksi.    2. Kolmatta sektoria on vahvistettava ja se on otettava mukaan yhteiskunnan muutoksen tekemiseen. Julkista sektoria on kehitettävä asiakaslähtöisyyden kautta ja parannettava palvelutuotannon tehokkuutta. Ylipäätään julkisen sektorin sääntelyä on purettava.    3. Työn muutos. Työuria on pidennettävä, verotusta kevennettävä ja palkat on jäädytettävä. Koulutusta tulee nykyaikaistaa ja kotimaisia innovaatioita on tuettava.     Lisää kaikista näistä teemoista löytyy sivuiltani osoitteesta www.anneberner.fi."
Perussuomalaiset,"1. työnteko kannattavaksi, harmaantalouden kitkeminen, Pien -ja keskisuurten  yritysten toimintaedellityksen turvaaminen. Rahan jakaminen ulkomaille supistettava. Ensin työllistetää suomen työttömät ja sen jälkeen tarveharkintainen työperäinen maahanmuutto."
Vasemmistoliitto,"Palveluiden alasajo on lopetettava.  Terveyspalvelut on turvattava kaikille.  Työtä työttömille -enemmän valtion investointeja tarvitaan.  Vanhusten ja eläkeläisten, lapsiperheiden, vammaisten ja työttömien arkea on helpotettava.    Suuryritysten verokikkailu on estettävä. Veroparatiiseihin valuvat rahat työllisyyttä edistäviin hankkeisiin ja investointeihin."
Suomen Kristillisdemokraatit (KD),"Työllisyyden lisääminen, pienyrittäjien aseman turvaaminen, nuorten perheiden ja vanhusten elinolojen parantaminen"
Suomen Sosialidemokraattinen Puolue,"Työllisyyttä, parempia mahdollisuuksia työn ja perheen yhdistämiseen, julkisten palveluiden kehittämistä sekä kaikkien oikeutta ja mahdollisuutta tietotekniikan hyödyntämiseen."
Suomen Sosialidemokraattinen Puolue,"Haluan verotuksen palvelemaan paremmin työntekemistä, haluan terveuserojen kasvulle nopean stopin, haluan oikeudenmukaisemman Suomen"
Vihreä liitto,"Sijoitetaan maksuttomaan koulutukseen ja tehdään suomalaisista maailman taidokkain kansa. Luodaan Suomesta tasa-arvoinen maa, jossa vähemmistöjen oikeudet ovat edellä eivätkä jäljessä. Suomessa yrittäminen ja työnteko kunniaan. Aloitetaan vihreän talouden vallankumous laskemalla uusiutuvien energiamuotojen verotusta ja poistamalla niiden turhaa sääntelyä."
Vasemmistoliitto,"Haluan tehdä Suomesta tasa-arvoisemman yhteiskunnan. Tuloerojen kasvu ja kansalaisten eriarvoistuminen tulee estää. Elvyttävällä talouspolitiikalla saamme työllisyyden nousuun, ja sitä kautta talouskasvua. Kun laitamme veronkierron ja harmaan talouden kuriin, meillä on varaa ylläpitää nykyistä hyvinvointivaltiota."
Suomen Kristillisdemokraatit (KD),Olen sosiaalialan ammattilainen ja tahdon erityisesti edistää lasten ja perheiden hyvinvointia maassamme. Toimintaani ohjaa kristillinen maailmankuva.
